Municipio,Codigo,Prefeito,Area Territorial,Populacao no ultimo censo pessoas,Densidade demografica,Populacao estimada pessoas,Total de receitas brutas realizadas,Total de despesas brutas empenhadas,PIB per capita
Peixoto de Azevedo,5106422,NILMAR NUNES DE MIRANDA,14433775,32714,2.27,33599,229027887.46,215786036.1,25734.2
Planalto da Serra,5106455,NATAL ALVES DE ASSIS SOBRINHO,2437.59,3166,1.3,3287,28818724.3,29106688.19,87939.09
Poconé,5106505,JONAS EDUARDO DE QUEIROZ MORAES,17013707,31217,1.82,31269,175446635.74,157757843.5,21252.49
Pontal do Araguaia,5106653,ADELCINO FRANCISCO LOPO,2742482,6932,2.53,7299,52360008.56,46415947.36,17674.65
Ponte Branca,5106703,CLENEI PARREIRA DA SILVA,701138,2008,2.86,2076,36571246.78,29013080.11,20481.87
Pontes e Lacerda,5106752,JAKSON FRANCISCO BASSI,8545292,52018,6.09,54795,265777425.78,245517520.4,52840.74
Porto Alegre do Norte,5106778,CARLOS ROBERTO TOMAZETTO,3971732,12127,3.05,12524,86502948.24,71730315.43,44260.34
Porto dos Gaúchos,5106802,VANDERLEI ANTONIO DE ABREU,6846668,5593,0.82,5690,83862686.9,76230504.36,246782.25
Porto Esperidião,5106828,ODIRLEI QUEIROZ FARIA,5835278,10204,1.75,10167,86419662.59,76214701.1,25346.89
Porto Estrela,5106851,MARCIO RODRIGUES DA SILVA,2045467,3224,1.58,3181,38893055.55,36282666.14,29907.24
Poxoréu,5107008,LUCIANO HUDSON SOL DA COSTA,6915298,23283,3.37,24587,113850944.63,111623160.6,67630.15
Primavera do Leste,5107040,SERGIO MACHNIC,5470383,85146,15.56,92927,21898231.09,24990901.38,109043.17
Querência,5107065,GILMAR REINOLDO WENTZ,17799989,26769,1.5,29820,317501055.73,279777426,231667.59
São José dos Quatro Marcos,5107107,JAMIS SILVA BOLANDIN,1282763,17849,13.91,17830,87141117.19,86448410.65,23873.07
Reserva do Cabaçal,5107156,JONAS CAMPOS VIEIRA,1331677,2122,1.59,2062,30281751.42,28610025.25,17235.37
Ribeirão Cascalheira,5107180,ELZA DIVINA BORGES GOMES,11354555,10089,0.89,10431,81349900.63,76948847.92,72424.03
Ribeirãozinho,5107198,DANILO COELHO DOMINGOS,624997,2593,4.15,2697,36885106.88,32711118.48,77486.61
Rio Branco,5107206,PABOLLO VICTOR BATISTA SIMAN,539287,4535,8.41,4489,39335569.27,35714354,20830.42
Santa Carmem,5107248,PABLO LIBERAL BORTOLAS,3812.09,5374,1.41,5677,66011999.97,62357941.54,224418.59
Santo Afonso,5107263,LUIS FERNANDO FERREIRA FALCÃO,1166382,2519,2.16,2460,44920703.49,39650453.56,51063.2
São José do Povo,5107297,IVANILDO VILELA DA SILVA,489737,2875,5.87,2780,34836619.75,28999175.63,14374.39
São José do Rio Claro,5107305,LEVI RIBEIRO,4525304,14911,3.3,14662,133523980.01,118001902.6,68644.21
São José do Xingu,5107354,SANDRO JOSE LUZ COSTA,7465563,5964,0.8,6168,72307909.6,60065228.25,165549.74
São Pedro da Cipa,5107404,EDUARDO JOSE DA SILVA ABREU,344.33,4191,12.17,4247,39367110.61,33300005.42,14366.2
Rondolândia,5107578,JOSÉ GUEDES DE SOUZA,12658342,3505,0.28,3527,55253813.51,45764547,28110.57
Rondonópolis,5107602,CLAUDIO FERREIRA DE SOUZA,4824505,244911,50.77,259167,1666675926.41,1659953777,72181.58
Rosário Oeste,5107701,MARIANO BALABAM,7339443,15453,2.11,15236,105003412.53,101812764.4,31476.72
Santa Cruz do Xingu,5107743,JORAILDES SOARES DE SOUSA,5623.39,2661,0.47,2834,50996530.93,41389732.86,118731.1
Salto do Céu,5107750,MAUTO TEIXEIRA ESPINDOLA,1753378,3679,2.1,3679,53275592.73,48834302.91,29237.92
Santa Rita do Trivelato,5107768,VOLMIR BASSANI,4740204,3276,0.69,3463,78933102.31,69565991.03,343161.27
Santa Terezinha,5107776,THIAGO CASTELLAN RIBEIRO,6466223,7596,1.17,7720,58385545.22,58089038.94,35169.16
Santo Antônio do Leste,5107792,MIGUEL JOSE BRUNETTA,3403593,4099,1.2,4212,64877478.8,59488509.64,186843.37
Santo Antônio de Leverger,5107800,FRANCIELI MAGALHÃES DE ARRUDA VIEIRA PIRES,9519194,15246,1.61,16795,81448453.86,78831178.37,47655.17
São Félix do Araguaia,5107859,ACÁCIO ALVES SOUZA,16682473,13621,0.82,14332,158974205.82,139772052,135991.34
Sapezal,5107875,CLÁUDIO JOSE SCARIOTE,13614552,28944,2.13,31499,292404251.82,287315489.6,253910.54
Serra Nova Dourada,5107883,ELSON FARIAS DE SOUSA,1490793,1800,1.21,1901,30674135.21,29858838.92,43686.5
Sinop,5107909,ROBERTO DORNER,3990.87,196312,49.19,216029,1147418260.38,1036373259,64607.12
Sorriso,5107925,ALEI FERNANDES,8454.83,110635,11.9,120985,850584557.11,832686228.5,131899.11
Tabaporã,5107941,CARLOS EDUARDO BORCHARDT,8439.05,9818,1.16,9908,110767026.63,101614979.2,141052.69
Tangará da Serra,5107958,VANDER ALBERTO MASSON,11636262,106434,9.15,112547,640519925.77,650403674,51892.66
Tapurah,5108006,ALVARO GALVAN,4492539,14370,3.2,15272,144650682.63,124045853,139617.54
Terra Nova do Norte,5108055,PASCOAL ALBERTON,2399737,10616,4.42,10641,91616733.61,88506552.72,54104.74
Tesouro,5108105,JOÃO ISAACK MOREIRA CASTELO BRANCO,4244073,3025,0.71,2977,37614141.66,33827734.76,83165.07
Torixoréu,5108204,THIAGO TIMO OLIVEIRA,2398383,4164,1.74,4230,40455005.83,36599999.99,60613.76
União do Sul,5108303,VANDERLEI ANTONIO DE MARCH,4590628,3838,0.84,3897,44645022.44,39788027.11,145942.7
Vale de São Domingos,5108352,LEANDRO AZEVEDO DA CUNHA,1902108,2904,1.53,2907,40505725.3,33606782.88,24697.43
Várzea Grande,5108402,FLAVIA PETERSEN MORETTI DE ARAUJO,939887,300078,414.31,314627,1306473823.26,1324626695,34151.42
Vera,5108501,YAGO PEZARICO GIACOMELLI,2978674,12800,4.19,13389,97917973.39,92368771.18,110130.08
Vila Rica,5108600,JOÃO SALOMÃO PIMENTA,7436383,19888,2.67,19827,143154100.33,131549451.2,32627.85
Nova Guarita,5108808,EDSON GONZAGA RIBEIRO,1121928,4590,4.09,4579,53568180.71,50551757.06,37993.87
Nova Marilândia,5108857,JEFFERSON NOGUEIRA SOUTO,1905744,3529,1.85,3678,53525819.89,49211037.36,126907.27
Nova Maringá,5108907,ANA MARIA URQUIZA CASAGRANDE,11553479,5846,0.51,5775,88591916.16,83060745.79,133034.17
Nova Monte Verde,5108956,EDEMILSON MARINO DOS SANTOS,5139307,8313,1.62,8451,79596224.41,68179309.41,39171.89
